"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"05/05/2022","AQS","490352005","1","0.1","ppm","1","Copper View","24","100.0000","42101","Carbon monoxide","093","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"05/06/2022","AQS","490352005","1","0.1","ppm","1","Copper View","24","100.0000","42101","Carbon monoxide","093","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"05/07/2022","AQS","490352005","1","0","ppm","0","Copper View","24","100.0000","42101","Carbon monoxide","093","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"05/08/2022","AQS","490352005","1","0","ppm","0","Copper View","24","100.0000","42101","Carbon monoxide","093","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"05/09/2022","AQS","490352005","1","0.1","ppm","1","Copper View","24","100.0000","42101","Carbon monoxide","093","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"05/10/2022","AQS","490352005","1","0.2","ppm","2","Copper View","24","100.0000","42101","Carbon monoxide","093","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"05/11/2022","AQS","490352005","1","0.2","ppm","2","Copper View","24","100.0000","42101","Carbon monoxide","093","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"05/12/2022","AQS","490352005","1","0.1","ppm","1","Copper View","24","100.0000","42101","Carbon monoxide","093","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"05/13/2022","AQS","490352005","1","0.2","ppm","2","Copper View","24","100.0000","42101","Carbon monoxide","093","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"05/14/2022","AQS","490352005","1","0.3","ppm","3","Copper View","24","100.0000","42101","Carbon monoxide","093","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"05/15/2022","AQS","490352005","1","0.2","ppm","2","Copper View","24","100.0000","42101","Carbon monoxide","093","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"05/16/2022","AQS","490352005","1","0.2","ppm","2","Copper View","24","100.0000","42101","Carbon monoxide","093","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"05/17/2022","AQS","490352005","1","0.1","ppm","1","Copper View","24","100.0000","42101","Carbon monoxide","093","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"05/18/2022","AQS","490352005","1","0.2","ppm","2","Copper View","24","100.0000","42101","Carbon monoxide","093","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
